question,answer,source
When will my order be shipped?,Standard items ship within 24 hours. For pre-order items please refer to the product detail page.,sample-en
Can I return my order?,You can return items within 7 days of receipt for any reason as long as the product is in its original condition.,sample-en
My tracking information has not updated. What should I do?,Please verify your tracking number is correct. If there is no update after 48 hours contact our online support.,sample-en
How do I change my shipping address?,You can update the address on the order detail page before the order is shipped. Once shipped the address cannot be changed.,sample-en
How do I handle a failed payment?,Please check your network connection and account balance and try again. You can also switch to a different payment method.,sample-en
Can I get an invoice reissued?,You can request an electronic invoice within 30 days of order completion from the order detail page.,sample-en
What are the benefits of being a member?,Members enjoy exclusive discounts birthday gifts and priority access to customer support.,sample-en
I forgot my password. How can I recover it?,Click Forgot Password on the login page and follow the steps to recover via SMS verification code or email.,sample-en
Why can I not use my coupon?,Please check the coupon expiry date applicable products and minimum spend requirement.,sample-en
My product has a quality issue. What should I do?,Please submit a description and photos of the issue on the after-sales page and we will prioritize your case.,sample-en
